"","finaud","bda","fraud","risk","security","blockchain","ai"
"1",1,4,0,0,0,0,0
"2",6,5,0,0,0,0,0
"3",5,1,0,0,0,7,0
"4",2,3,0,0,6,0,0
"5",1,16,0,0,0,11,0
"6",8,2,0,0,0,0,2
"7",3,7,1,1,0,0,0
"8",2,9,0,0,0,4,0
"9",6,11,0,0,0,0,0
"10",6,5,1,0,0,4,0
"11",3,25,0,0,2,1,0
"12",2,5,5,0,0,0,0
"13",8,0,3,0,0,0,0
"14",4,18,0,0,1,0,0
"15",2,5,0,0,0,0,0
"16",1,5,0,0,0,0,0
"17",2,10,1,0,0,0,0
"18",5,10,0,0,0,0,0
"19",4,2,0,0,0,0,0
"20",2,16,0,0,0,0,0
"21",3,12,0,0,1,0,0
"22",3,8,0,0,0,0,0
"23",1,14,3,1,0,0,0
"24",1,6,0,0,1,3,0
"25",4,8,1,0,0,0,0
"26",7,7,0,0,0,0,0
"27",0,6,2,0,0,0,0
"28",5,3,0,2,0,0,0
"29",2,11,0,0,0,0,0
"30",19,2,0,0,0,0,0
"31",2,7,2,0,0,0,0
"32",1,1,0,0,0,0,1
