Article No.,Authors,Title,Year,Source,Implications
1,"Cheong A., Duan H.K., Huang Q., Vasarhelyi M.A., Zhang C.A.",The Rise of Accounting: Making Accounting Information Relevant Again with Exogenous Data,2022,Journal of Emerging Technologies in Accounting,Importance of Accounting
4,[No author name available],"2nd International Conference on Smart Computing and Cyber Security - Strategic Foresight, Security Challenges and Innovation, SMARTCYBER 2021",2022,Lecture Notes in Networks and Systems,Security challengesand innovation
5,"Sharma M.G., Sharma S.M.",Frontiers of Blockchain for Railways,2022,Studies in Big Data,Blockchains for railways
6,"Hu K.-H., Chen F.-H., Hsu M.-F., Tzeng G.-H.",Identifying key factors for adopting artificial intelligence-enabled auditing techniques by joint utilization of fuzzy-rough set theory and MRDM technique,2021,Technological and Economic Development of Economy,AI adoption for intelligence enabled auditing
17,Kılıç B.İ.,The effects of big data on forensic accounting practices and education,2020,Contemporary Studies in Economic and Financial Analysis,Forensic accounting practices
18,"De Santis F., D’Onza G.",Big data and data analytics in auditing: in search of legitimacy,2020,Meditari Accountancy Research,Legitimacy in auditing
23,"Tang J., Karim K.E.",Financial fraud detection and big data analytics – implications on auditors’ use of fraud brainstorming session,2019,Managerial Auditing Journal,Financial fraud detection
27,"Abrantes P.C., Ferraz F.",Big data applied to tax evasion detection: A systematic review,2017,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",Tax evasion detection
28,"Tarek M., Mohamed E.K.A., Hussain M.M., Basuony M.A.K.",The implication of information technology on the audit profession in developing country: Extent of use and perceived importance,2017,International Journal of Accounting and Information Management,Influence of IT on audit profession
29,"Alles M., Gray G.L.",Incorporating big data in audits: Identifying inhibitors and a research agenda to address those inhibitors,2016,International Journal of Accounting Information Systems,Identification of inhibitors
30,"Hegazy M., Tawfik M.",Performance measurement systems in auditing firms: Challenges and other behavioural aspects,2015,Journal of Accounting in Emerging Economies,Performance measurement of auditing firms
